Title,Summary,Contents,Photo,Section,Themes,Times,Place,Referenced articles,Related articles,Author,(Source),Publication date,Link,,,,,,,,,,,,,,
Quem quiser uma casa com renda acessível em Lisboa ja pode candidatar-se,Bolsa inclui 75 casas e candidaturas desta terceira fase podem ser feitas através da platfaforma Habitar Lisboa até 5 de Novembro,"As candidaturas ao terceiro concurso do Programa Renda Acessi«ível da Câmara de Lisboa abrem esta quarta-feira e vão prolongar-se até 5 de Novembro, às 17h. Esta terceira bolsa de habitaçãoes é composta por 75 casas, com tipologias que vão do T0 ao T4, localizadas em vários pontos da cidade. ""Temos casas em praticamente todas as frequesias, temos no centro histórico, zona tão causticada com o processo de especulação imboliária e de despejo"", disse a vereadora da Habitação, Paula Marques, numa visita a uma das casas incluídas no concurso, próxima à Avendia Almirante Reis. As candidaturas podem ser feitas no site Habitar Lisboa, para o qual é necessário ter a chave móvel digital, para aceder a todas informações e poder concretizar a candidatura. Estas 75 casas foram angariadas via Renda Segura, um programa em que autarquia vai ao mercado de arrendamento arrendar casas para depois as subarrendar a custos conrolados, acessíveis a jovens e famílias com rendimento médio. As rendas cobradas pela autarquia não podem ultrapassar 30% do rendimento líquido do sagregados familiares. No primeiro concurso Renda Segura - neste momento está a decorrer or segundo até 31 de Outburo - a autarquia conseguiu atrair 177 habitações (34 provenientes do Alojamento Local) de propreitários que as pretendem arrendar ao município, um objectivo que fica longe das mil casas que Fernando Meidna disse querer angariar ao longo de 2020. Foram assinados, até ao momento, 105 contratos com os proprietários. Em curso, e até 31 de Outubro, está já uma segunda fase. Com o objectivo das mil casas fora do alcance, Paula Marques admite alguns receios por parte dos proprietários. ""É uma nova abordagem por isso +e natural que os proprietários também tenham algumas dúvidas. Acho que temos de mostrar que é possível. Foram 30 casas [no anterior concurso], agora são 75, numa boa relação com os proprietários"", notou. Além disso, o município impõe uma série de requisitos que os proprietários devem cumprir para que as suas casas possam ser arrendadas pelo município. ""Não aceitamos casas que não tenham condições de habitabilidade, não aceitamos proprietários que tenham tido, num momento anterior, qualquer acção de despejo dos seus inquilinos. Temos lmites de valores para o arrendamento. Não podemos, por um lado, estar a criticar a especulação imobiliária e depois, com um programa público, não ter essas 'medidas travão' na defes do interesse público"", garantiu a autarca. As 30 casas do segundo concurso de Renda Acessível, que terminou em Setembro, saíram também desta bolsa de casas angariadas no âmbito do Programa Renda Segura. para esse concurso, a câmara recebeu 2872 candidaturas, o que espelha a elevada procura (e necessidade) por uma casa e preços comportáveis por quem escolhe a capital para ser a sua casa. De acordo com a câmara, o valor de um T0 varia entre 150 e 400 euros, o preços de um T1 situa-se entre 150 e 500 euros e um T2 terá um preço que pode ir do s150 aos 600 euros, enquanto as tipologis superiores contrarão com uma renda mínima de 200 euros e máxima de 800. Fazendo as contas ao pgorama que precedeu o Renda Acessível, que se designava por Renda Condicionada, a veradora diz já terem sido atribuídas mais de 600 casas a jovens e famílias da classe média, com rendas a custos conrolados.",,Habitação,Local; habitação; arrendamento; imobiliário; lisboa; câmara de lisboa,21/10/2020 - 5/11/2020,Lisboa,http://publico.pt/1917019; http://publico.pt/1923317; https://www.publico.pt/2020/09/16/local/noticia/segundo-concurso-arrendamento-acessivel-lisboa-recebeu-2872-candidaturas-30-casas-1931840; http://publico.pt/1931840; ,https://www.publico.pt/n1931840; https://www.publico.pt/n1923317; https://www.publico.pt/n1925741; https://www.publico.pt/n1917019,Cristinana Faria Moreira,Público,21/10/2020,https://www.publico.pt/2020/10/21/local/noticia/quer-casa-renda-acessivel-lisboa-ja-candidatar-1936134,,,,,,,,,,,,,,
Linha de alta velocidade vai ligar Lisboa e Porto em 1h15,"Primeira fase da nova infra-estrutura vai servir Aveiro, Coimbra e Leiria, ser+a construída em bitola ibérica e cruza-se com a linha do Norte em vários pontos, permitindo uma articulação com a rede convencional. Projecto custa 4500 milhões.","O PNI - Programa Nacional de Investimentos 2030 - que vai ser anunciado esta quinta-feira em Lisboa com a presença do primeiro-ministro e dos ministros das INra-estruturas, Ambiente e Agricultura - contempla como principal projecto uma nova linha Lisboa-Porto, que nma segunda fase estará preparada para velocidades de 300km/hora, a fim de ligar as duas cidades num tempo de viagem próximo de 1 hora e 15 minutos. Segundo apurou o PÚBLICO, numa primeira fase, essa infra-estrutura será construída em bitola ibérica e articulada com a rede convencional para receber comboios com patamares de velocidade entre os 220 e os 250km/hora. O investimento previsto é de 4500 milhões de euros. A construção desta linha será faseada, o ue permitirá a sua utilização à medida que os sucessivos troços forem abrindo, pois cruzar-se-á com a Linha do Norte em alguns pontos. A prioridade vai ser dada ao troço Gaia-Soure, que representa metada do trajecto entre Lisboa e o Porto, devendo depois a linha tocar Leiria e prosseguir para Lisboa num canal já estudado pela Rave (a empresa criada em 2000 no Governo de António Guterres para estudar a rede de alta velocidade) a oeste da serra dos Candeeiros. Ao ter como base o corredor da Rave, isto signfica que de Leiria para Lisboa a nova infra-estrutura deverá passar nas proximidades de Rio Maior e OTa e entrar em Lisboa pela zona de Arruda dos Vinhos, num troço de difícil execução que exige vários túneis e viadutos. Daí que a prioridade seja dada à metade norte, mais fácil, entra Gaia e Soure. Este projecto torna inevitáveis, a mais longo prazo, a construção de mais duas pontes, sobre o Douro e o Tejo. A Ponte de S. João ficará congestionada ao absorver mais comboios vindos da nova linha e, a sul, uma ""auto-estrada ferroviária"" que lig o Porto a Lisboa em 1h15 obrigará a uma terceira travessia do Tejo para fazer repercutir os ganhos de tempo para a península de Setúbal, Alentejo e Algarve. Ao construir a nova infra-estrutura em bitola ibérica, o Governo pretende que esta seja utilizada, no todo ou parcialmente, por outros serviços de passageiros com maior número de paragens (por exemplo, os Intercidades) ou que não tenham origem e destino em Lisboa e Porto. Os serviços de Lisboa para Braga, Guimarães, Viana do Castelo, Régua e Guarda poderão utilizar este novo corredor. Inversamente, o Porto ficará mais perdo de Setúbal, Beja e Faro. No fundo, a nova linha LIsboa-Porto será o cerredor central do eixo atlântico que poderá ligar a Galiza ao Algarve e à Andaluzia. Embora construída em bitola ibérica, as travessas em que assentarão os carris serão polivanlentes, isto é, estarão preparadas para que, no futuro, a linha possa mirgrar para bitola europeia. E só nessa altura - quando toda a linha for em bitola europeia - é que os comboios poderão verdadeiramente circular a 300km/hora e o Porto e Lisboa vão ficar a 1h15 de distância. Isto, porque os comboios de alta velocidade só estão homologados para circularem em bitola europeia. A sua homologação para bitola ibérica teria um custo demasiado elevado para que um governo ou fabricante nele investisse. Por isso, a nova linha Lisboa-Porto estará limitada a 250km/hora numa primeira fase (o que já permite assinaláveis reduções de tempos de trajecto face à Linha do Norte) e só a longo prazo será uma linha de alta velocidade. As estações Ao aproveitar os estudos feitos pela Rave, a linha de alta velocidade irá sair de Gaia e não deverá passar por Aveiro, cuja estação será servida através de uma variante à linha principal - isto é, haverá comboios Lisboa-Porto que passarão ao largo de Aveiro e outros que utilizarão esse desvio para efectuar paragem naquela cidade. Já Coimbra terá a nova infra-estrutura a pasar pela actual estação de Coimbra B, enquanto em Leiria está prevista uma estação Leiria/Marinha Grande num ponto junto à Linha do Oeste. Trata-se, mais uma vez, de articular a alta velocidade com a rede convencional, permitindo assim que comboios vindos de Torres Vedras e Caldas da Rainha possam prosseguir para norte pelo novo corredor. Seguindo o traçado da Rve, a linha prossegue por Rio Maior (onde chegou a estar prevista uma estação na qual só parariam alguns serviços) e Ota, a qual deixou de ser um ponto fixo no mapa, permitindo agora que se decida costruir um outro traçado mais perto de Santarém. Esta aboradagem de articulr a linha de alta velocidade com a rede convencional está em linha com uma das premissas do Governo na elaboração de um plano ferroviário nacional ""assente num modelo em rede, que inclua linhas, ramais e trajectos interligados"". Financiamento Para ober os 4500 milhoes de euros necessários para este projecto, o executivo deverá recorrer a fundos comunitários, nomeadamente do QFP (Quadro Financeiro Plurianual) e do CEF (Coonnecting Europe Facility). A estratégia assenta em aproveirtar a disponibilidade europeia para os projectos ferroviários (tanto na infra-estrutura, como no material circulante) para obter fundos comunitários e guardar o dinheiro a fundo perdido da ""bazuca"" europeia para os projectos rodoviários, os uais deixaram de ser financiados pela UE. É por isso que no Plano de Recuperação e Resiliência apresentado recentemente não constam investimentos na ferrovia, com excepção do metropolitano e metros ligeiros, cuja tutela, aliás, é do Ministério do Ambiente e não do das Infra-estruturas. Neste jogo seigual, Matos Fernandes fica com o dinheiro a fundo perdido a ""bazuca"" e Pedro Nuno Santos com os financiamentos comunitários convencionais. O ""T deitado"" Aprocimar Lisboa e o Porto e criar uma grande área metropolitana litoral foi uma estratégia cedo assumida pelo ministro das Infra-estruturas, Pedro Nuno Santos, que considera uma linha de alta velocidade indispensável para esse objectivo. Em entrevista ao PÚBLICO em 27 de NOvembro de 2019, o governante dizia que ""o pa~is teria muito a ganhar"" com uma ligação entre as duas cidades com uma velocidade entre os 250 e os 300km/hora. ""no dia em que a viagem entre LIsboa e o POrto puder ser feita em pouco mais de uma hora, estaremos a pensar a forma como este país organiza, a forma como a economia se articula, a forma como nós trabalhamos de maneira completamente diferente."" Há 20 anos, os eu homólogo João Carvinho dizia a mesma coisa, quando anunciou uma linha de lata velocidade entre Lisboa e o Porto, também em 1h15m. O ministro dizia que esta linha era necessária para se opor ao centralismo espanhol de considerar Madrir o centro de uma estrela a partir da qual irradiavam linhas de alta velocidade para todos os pontos da Penínusla Ibérica. Em Portugal, em vez de Madrid estar ligado a um ponto (Lisboa), estaria ligado a um corredor Lisboa-Porto, a uma grande metrópole litoral. Dái a ideia do ""T deitado"" como um eixo vertical a partir da qual sairia uma linha para Espanha. Cravinho falava mesmo de um aixo POntevedra-Setúbal. Mas tambem já há 20 anos as razões para construir uma nova linha lIsboa-Porto se prendiam com a fragilidade da LInha do Norte em responder aos desafios futuros da mobilidade enre as duas cidades. A linha estava a começar a ser modernizada e já somava atrasos. O objectivo era que os pendulares ligassem o Tejo ao Douro em 2h15, mas ficou decidido que se ficaria pelas 2h30, pois a aposta seria a alta velocidade. Passaram-se 20 anos. A modernização da lInha do Norte não avançou e os pendulares demoram três horas entre lIsboa e o Porto. Um novo ministro anuncia que está na hora de se retomar a alta velocidade e o objectivo de 1h15 entre as duas capitais. Mas, pragmaticamente, não anuncia um projecto segrado, a ser construído de uma só vez como o seu antecessor, mas sim uma construção faseada que proporcione ganhos de tempo à medida que for sendo feito. Avança quadruplicação entre Roma-Areeiro e Braço de Prata O PNI 2023 contempla a quadruplicação (quatro vias) da linha da Cintura entre Roma-Areeiro e Braço de Prata, resolvendo assim o maior estragulamento ferroviário de Lisboa. A linha que atravessa a cidade tem quatro vias, mas sobre-lhe um pequeno troço de quatro quilómetros, entre Roma-Areeiro e Braço de Prata que só tem dus vias. Ao passar para quatro linhas, poder-se-á aumentar o número de comboios entre a linha do Norte e a Cintura e daí também para a linha de Sintra e para o Sul. Contudo, os passageiros da Margem Sul nada irão beneficiar com este investimento de 110 milhões de euros porque a Fertagus (que opera entre Lisboa e Setúbal) continuará a ter a sua estação términos em Roma-Areeiro. A emrpesa não tem comboios suficientes para prolongar a operação até ao Oriente, pelo que esta melhoria da infra-estrutura de nada lhe serve. Este estrangulamento lisboeta tem o seu equivalente no Porto, entre Campanhá e Ermesinde, onde oito quilómetros de via dupla são insuficientes para abarcar todo o tráfego ferroviário vindo das linhas do Douro, do minho e dos ramais de Braga e Guimarães. A sua quadruplicação está também prevista no PNI 2030. Em 1999, o PÚBLICO noticiava a decisão do governo de António Guterres em construir uma linha de alta velocidade que ligasse Lisboa ao Porto em 1h15. O ministro João Vravinho já não acreditava na modernização da linha do Norte e queria estruturar o território com um grande corredor ferroviário no litoral. Nessa altura, o ex-ministro das Obras Públicas, Oliveira Martins, lamantava que já se tivessem perdido dez anos: nos anos 80, ele próprio lançara os estudos para o TGV em Portugal, que o seu sucessor, Ferreira do Amaral,  metera na gaveta. A mudança de ciclo político ajustara a agulha para a alta velocidade e o novo governo chega-se à frente. Porém, o tracado e a questão da Ota não são consensuais e seguem-se anos de discussões. A troika arrumou definitivamente com a alta velocdiade, Antõnio Costa chamou-lhe um tabu, mas um seu ministro ranasce-a das cinzas e volta a lançá-la.",,Economia»Rede feroviária,Economia; rede ferroviária; comboios; comboio; investimento; transportes; TGV; conteúdo exclusivo,7/22/1905,(find planned train line),https://www.publico.pt/2019/01/03/economia/noticia/governo-avanca-novo-plano-obras-publicas-so-20-anterior-concluido-1856404; https://www.publico.pt/2020/01/21/economia/noticia/governo-lanca-plano-ferroviario-nacional-insiste-aproximar-lisboa-porto-1900995; https://www.publico.pt/2020/10/08/economia/noticia/estudos-estradas-caminhosdeferro-vao-custar-125-milhoes-euros-1934339; https://www.publico.pt/2019/07/27/politica/entrevista/pedro-nuno-santos-cp-lisboa-porto-1881366; ,https://www.publico.pt/podcast-sobre-carris; https://www.publico.pt/n1936179; ,Carlos Cipriano,Público,22/10/2020,https://www.publico.pt/2020/10/22/economia/noticia/linha-alta-velocidade-vai-ligar-lisboa-porto-1h15m-1936153,,,,,,,,,,,,,,
Universidade de LIsboa investe 200 mil euros para testar toda a comunidade,"Instituição vai usar os seus laboratórios para testar 600 pessoas por dia. Até ao final do ano lectivo, cada pessoa será testada duas vezes.",,,,,,,,,,Público,22/10/2020,https://www.publico.pt/2020/10/22/sociedade/noticia/universidade-lisboa-investe-200-mil-euros-testar-comunidade-1936347,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/15/fugas/noticia/ha-nova-campanha-oceanario-lisboa-descontos-segunda-sextafeira-1935323,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/19/p3/noticia/ha-cursos-linguas-eslavas-gratuitos-universidade-lisboa-inscricoes-continuam-abertas-1935765,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/07/local/noticia/lisboa-absurdo-museu-desenhado-valorizar-arqueologia-destruisse-arqueologia-1934370,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/08/culturaipsilon/opiniao/querem-enfrentar-pandemia-facam-eugenio-lisboa-ataquemna-poesia-1934302,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/19/p3/noticia/ha-cursos-linguas-eslavas-gratuitos-universidade-lisboa-inscricoes-continuam-abertas-1935765,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/01/local/noticia/circulacao-linha-azul-metro-lisboa-restabelecida-23h-1933698,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/20/local/noticia/metro-lisboa-perturbacoes-circulacao-quartafeira-devido-plenario-1936031,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/30/local/noticia/paredes-escolas-secundarias-universidades-lisboa-tingidas-racismo-1937340,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/03/p3/noticia/continuar-editar-pede-feira-grafica-lisboa-pandemia-1931495,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/13/local/opiniao/sistemas-inteligentes-lisboa-1934920,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/04/sociedade/noticia/fim-semana-novos-casos-zona-lisboa-norte-concentram-89-infeccoes-1933936,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/15/sociedade/noticia/hospitais-lvt-esgotada-80-capacidade-internamentos-dois-tercos-cuidados-intensivos-1935341,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/28/sociedade/noticia/hospitais-privados-recusam-receber-doentes-covid-lisboa-1937131,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/22/local/noticia/ligacao-fluvial-seixal-lisboa-suspensa-partir-segundafeira-obras-1936350,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/15/economia/noticia/prr-metros-lisboa-porto-recebem-mil-milhoes-novas-expansoes-1935350,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/27/fugas/noticia/lisboa-novo-sos-turistas-1936880,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/14/culturaipsilon/noticia/ministra-cultura-determina-conservacao-vestigios-mesquita-lisboa-1935180,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/08/economia/noticia/vistos-gold-abrandam-nao-largam-area-lisboa-1934374,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/12/sociedade/noticia/covid19-lisboa-porto-sao-concelhos-maior-numero-novos-casos-ultima-semana-11-total-nacional-1934877,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/22/local/noticia/novos-autocarros-lisboa-comecam-circular-final-2021-1936365,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/metro-de-lisboa,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/03/local/noticia/tunel-joao-xxi-lisboa-reabre-segundafeira-condicionamentos-1933913,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/02/local/noticia/medina-recua-remete-restricoes-transito-baixa-lisboa-proximo-mandato-1933749,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/21/culturaipsilon/noticia/investigadores-pedem-classificacao-novos-achados-arqueologicos-lisboa-1936149,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/14/sociedade/noticia/covid19-filha-denuncia-infeccao-mae-hospitais-lisboa-1935262,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/02/sociedade/noticia/numero-professores-candidatos-escolas-lisboa-estara-esgotarse-1933834,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/17/politica/noticia/paulo-portas-publico-candidatura-lisboa-nao-1935649,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/08/sociedade/noticia/covid19-escola-lisboa-dois-casos-positivos-nao-recebeu-indicacoes-autoridade-saude-medidas-tomar-1934544,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/08/sociedade/reportagem/posto-fixo-lisboa-cruz-vermelha-inaugura-sextafeira-capacidade-1200-testes-dia-1934541,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/03/local/noticia/metro-lisboa-adjudica-terceira-empreitada-plano-expansao-195-milhoes-euros-1933891,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/01/local/noticia/lisboa-poe-placa-homenagem-alcindo-monteiro-local-onde-assassinado-1933677,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/03/culturaipsilon/noticia/biblioteca-alcantara-abre-espaco-cultural-comunitario-lisboa-1933876,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/19/local/noticia/antigo-quarteirao-bpi-baixa-lisboa-vai-hotel-luxo-1935858,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/22/culturaipsilon/noticia/sokyo-galeria-traz-ceramica-arte-contemporanea-japonesa-lisboa-1936301,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/11/local/noticia/metade-proprietarios-lisboa-inquilinos-deixaram-pagar-renda-1934720,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/19/local/noticia/tribunal-anula-decisao-camara-lisboa-piscina-penha-franca-1935883,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/29/local/noticia/ja-piscinas-telhado-camara-lisboa-aprovou-projecto-senhora-monte-1937233,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/02/politica/noticia/portas-sondado-lisboa-nao-rejeitou-1933635,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/20/local/noticia/lisboa-quer-prolongar-isencao-taxas-esplanadas-ate-fim-2021-1936018,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/27/sociedade/noticia/paroco-lisboa-critica-fecho-cemiterios-ferrari-ja-podemos-ir-rezar-mortos-1936982,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/19/sociedade/noticia/concelhos-lisboa-sintra-pacos-ferreira-maior-numero-novos-casos-covid19-ultima-semana-1935833,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/23/fugas/noticia/bolt-lanca-servico-entrega-refeicoes-lisboa-1936497,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/27/fugas/noticia/novo-mercado-produtores-lisboa-estreiase-aboboras-joao-rodrigues-1936918,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/camara-de-lisboa?frm=home_tag,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/08/local/noticia/aquisicao-navios-electricos-ligar-margem-sul-lisboa-espera-relatorio-final-1934512,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/09/culturaipsilon/noticia/temps-dimages-regressa-lisboa-danca-teatro-documentario-1934573,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/17/desporto/noticia/primeira-final-lisboa-pedro-sousa-1935680,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/20/sociedade/noticia/homem-detido-desferir-golpes-profundos-companheira-hotel-lisboa-1936012,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/29/fugas/noticia/ryanair-vai-ligar-lisboa-colonia-partir-primavera-1937173,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/18/politica/entrevista/portas-proprio-lisboa-nao-1935287,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/lisboa-,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/16/sociedade/noticia/hospitais-lisboa-vale-tejo-norte-taxas-ocupacao-elevadas-ha-folga-1935443,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/01/local/noticia/camara-lisboa-vai-apoiar-37-projectos-bipzip-valor-16-milhoes-euros-1933583,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/21/local/fotogaleria/exposicao-hortas-lisboa-403206,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/09/local/noticia/lisboa-vai-criar-selo-acessibilidade-municipal-distinguir-espacos-onde-conseguem-entrar-1934523,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/06/local/noticia/escola-lisboa-manda-270-alunos-casa-ficar-agua-1934186,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/15/economia/noticia/rendas-lisboa-cairam-111-terceiro-trimestre-1935362,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/27/sociedade/noticia/ars-lisboa-vale-tejo-lanca-concurso-contratar-15-medicos-medicina-intensiva-1936910,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/25/sociedade/noticia/centenas-pessoas-contestam-lisboa-medidas-governo-1936652,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/12/desporto/noticia/sousa-elias-defrontamse-lisboa-belem-open-1934812,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/15/local/noticia/circulacao-laterais-avenida-liberdade-volta-normal-1935366,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/08/culturaipsilon/noticia/miss-ruben-alves-abre-quintafeira-lisboa-festa-cinema-frances-1934422,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/27/culturaipsilon/noticia/adiados-concertos-xutos-porto-plutonio-lisboa-marcados-sabado-1936905,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/20/culturaipsilon/noticia/sigamos-traca-repensemos-bairros-redescubramos-lisboa-1935306,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/16/local/noticia/dispensario-alcantara-lisboa-vai-transformado-edificio-habitacao-1935490,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/30/fugas/noticia/alcantara-coracao-lisbonweek-propoe-quatro-meses-visitas-guiadas-1937371,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/15/desporto/noticia/pedro-sousa-volta-vencer-lisboa-belem-open-1935433,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/clubep/oferta/penguin-random-house-luanda-lisboa-paraiso-de-djaimilia-pereira-de-almeida-1110?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJFbWFpbCI6IiIsIlVzZXIiOiIwMDAwMDAwMC0wMDAwLTAwMDAtMDAwMC0wMDAwMDAwMDAwMDAiLCJuYmYiOjE2MDQ1NDkyOTEsImV4cCI6MTYwNDYzNTY5MSwiaWF0IjoxNjA0NTQ5MjkxLCJpc3MiOiJodHRwczovL3d3dy5wdWJsaWNvLnB0LyIsImF1ZCI6Imh0dHBzOi8vd3d3LnB1YmxpY28ucHQvIiwiYWN0b3J0IjoiZXlKaGJHY2lPaUp1YjI1bElpd2lkSGx3SWpvaVNsZFVJbjAuZXlKb2RIUndPaTh2YzJOb1pXMWhjeTU0Yld4emIyRndMbTl5Wnk5M2N5OHlNREExTHpBMUwybGtaVzUwYVhSNUwyTnNZV2x0Y3k5dVlXMWxJam9pUVZCSkluMC4ifQ.F34eh4nDMvadajJ57Qw1bFOi_54jmjiV7vgh4kwPIs0,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/24/sociedade/noticia/direito-nova-lisboa-leva-cartao-amarelo-alunos-1936204,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/16/desporto/noticia/pedro-sousa-meiasfinais-lisboa-belem-open-1935605,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/29/politica/noticia/militares-planeiam-15-dias-gestao-camas-ars-lisboa-1937187,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/universidade-nova-de-lisboa,,,,,,,,,,,,,,
,,,,,,,,,,,Público,,https://www.publico.pt/2020/10/19/local/noticia/190-anos-confeitaria-nacional-monumento-interesse-publico-1935798,,,,,,,,,,,,,,
